run,model,dataset,cap,n,median,mean,min,max
Dec09_12-16-16_d4e65e7af705,gatqsat,flat175-417,500,100,3.2072,6.3948,0.0982,79.9231
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat175-417,500,100,1.9318,3.3474,0.1454,21.7976
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat175-417,500,100,0.8174,1.6810,0.0839,19.8621
Dec09_12-16-16_d4e65e7af705,gatqsat,flat175-417,1000,100,3.2072,6.3994,0.0988,79.9231
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat175-417,1000,100,1.9318,3.2998,0.1031,21.7976
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat175-417,1000,100,0.6468,1.5873,0.0409,19.8621
Dec09_12-16-16_d4e65e7af705,gatqsat,flat200-479,10,100,2.7791,4.6172,0.1137,36.6327
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat200-479,10,100,2.0802,3.5501,0.0659,27.4132
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat200-479,10,100,1.4906,3.1667,0.0659,21.2736
Dec09_12-16-16_d4e65e7af705,gatqsat,flat200-479,50,100,3.2797,5.8203,0.0894,63.0625
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat200-479,50,100,1.7491,3.3938,0.0701,33.0588
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat200-479,50,100,1.3079,2.5802,0.0939,16.9235
Dec09_12-16-16_d4e65e7af705,gatqsat,flat200-479,100,100,3.2471,6.2367,0.1101,63.0625
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat200-479,100,100,1.9451,3.2014,0.0530,33.0588
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat200-479,100,100,1.2635,2.2544,0.0841,19.7723
Dec09_12-16-16_d4e65e7af705,gatqsat,flat200-479,300,100,3.3147,6.1454,0.0893,63.0625
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat200-479,300,100,1.7339,2.9507,0.0577,33.0588
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat200-479,300,100,0.9326,1.8509,0.0540,19.5784
Dec09_12-16-16_d4e65e7af705,gatqsat,flat200-479,500,100,3.3884,6.1660,0.0851,63.0625
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat200-479,500,100,1.6018,2.8668,0.0523,33.0588
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat200-479,500,100,0.7156,1.6427,0.0564,19.5784
Dec09_12-16-16_d4e65e7af705,gatqsat,flat200-479,1000,100,3.3884,6.0970,0.0870,63.0625
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat200-479,1000,100,1.4687,2.7021,0.0341,33.0588
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat200-479,1000,100,0.5254,1.4535,0.0321,19.5784
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf50-218,10,100,1.7943,2.6656,0.1786,16.6667
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf50-218,10,100,0.8312,1.0224,0.1429,4.0000
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf50-218,50,100,2.0417,2.9200,0.3846,16.6667
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf50-218,50,100,0.6043,0.7653,0.1020,4.0000
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf50-218,100,100,2.0417,2.9200,0.3846,16.6667
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf50-218,100,100,0.5000,0.7098,0.0566,4.0000
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf50-218,300,100,2.0417,2.9200,0.3846,16.6667
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf50-218,300,100,0.5000,0.7015,0.0610,4.0000
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf50-218,500,100,2.0417,2.9200,0.3846,16.6667
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf50-218,500,100,0.5000,0.7015,0.0610,4.0000
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf50-218,1000,100,2.0417,2.9200,0.3846,16.6667
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf50-218,1000,100,0.5000,0.7015,0.0610,4.0000
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf100-430,10,100,1.7161,3.0791,0.1308,43.3000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf100-430,10,100,0.7013,1.0291,0.0886,5.8621
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf100-430,50,100,2.2500,4.0769,0.1245,43.3000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf100-430,50,100,0.6279,0.8655,0.0769,4.6102
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf100-430,100,100,2.7818,4.2939,0.1716,43.3000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf100-430,100,100,0.5419,0.6979,0.0627,2.7259
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf100-430,300,100,2.8926,4.3998,0.2201,43.3000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf100-430,300,100,0.3764,0.4920,0.0478,2.0000
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf100-430,500,100,2.8926,4.3998,0.2201,43.3000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf100-430,500,100,0.2829,0.3735,0.0315,2.0000
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf100-430,1000,100,2.8926,4.3998,0.2201,43.3000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf100-430,1000,100,0.1934,0.2769,0.0217,2.0000
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf250-1065,10,100,2.3839,5.6676,0.1070,56.4571
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf250-1065,10,100,0.9637,1.5217,0.0191,24.5343
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf250-1065,50,100,2.4964,5.4701,0.1317,34.7692
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf250-1065,50,100,0.9724,1.4830,0.0736,17.3058
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf250-1065,100,100,2.5256,5.4604,0.1642,60.6320
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf250-1065,100,100,1.0497,1.5098,0.0479,15.2625
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf250-1065,300,100,2.3711,5.3634,0.1042,38.4021
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf250-1065,300,100,0.9561,1.3654,0.0152,13.3066
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf250-1065,500,100,2.4068,4.7870,0.1203,25.7415
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf250-1065,500,100,0.9738,1.5857,0.0693,29.5920
Nov12_14-06-54_c42e8ad320d8,gatqsat,uf250-1065,1000,100,2.2153,5.0693,0.0913,47.8454
Nov13_03-55-51_c42e8ad320d8,gatqsat,uf250-1065,1000,100,0.9693,1.5701,0.0589,13.7771
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf50-218,10,100,1.7470,1.9238,0.6818,4.0370
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf50-218,10,100,1.2396,1.3760,0.5938,5.2105
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf50-218,10,100,0.9581,1.0493,0.3977,2.7333
Nov14_03-26-36_54337a27a809,gatqsat,uuf50-218,10,100,1.4914,1.6071,0.7069,3.5333
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf50-218,50,100,2.7735,2.9274,1.0714,7.2667
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf50-218,50,100,1.5683,1.7729,0.7922,5.5000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf50-218,50,100,0.7308,0.7699,0.2857,1.4906
Nov14_03-26-36_54337a27a809,gatqsat,uuf50-218,50,100,1.6485,1.7326,0.6308,3.3125
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf50-218,100,100,2.7735,2.9274,1.0714,7.2667
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf50-218,100,100,1.5896,1.7951,0.8140,5.5000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf50-218,100,100,0.5547,0.5977,0.2016,1.4630
Nov14_03-26-36_54337a27a809,gatqsat,uuf50-218,100,100,1.6667,1.7335,0.6029,3.3125
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf50-218,300,100,2.7735,2.9274,1.0714,7.2667
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf50-218,300,100,1.5896,1.7951,0.8140,5.5000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf50-218,300,100,0.4702,0.5249,0.1464,1.4630
Nov14_03-26-36_54337a27a809,gatqsat,uuf50-218,300,100,1.6615,1.7310,0.6029,3.3125
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf50-218,500,100,2.7735,2.9274,1.0714,7.2667
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf50-218,500,100,1.5896,1.7951,0.8140,5.5000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf50-218,500,100,0.4702,0.5248,0.1464,1.4630
Nov14_03-26-36_54337a27a809,gatqsat,uuf50-218,500,100,1.6615,1.7293,0.6029,3.3125
Nov12_14-06-54_c42e8ad320d8,gatqsat,uuf50-218,1000,100,2.7735,2.9274,1.0714,7.2667
Nov12_20-35-32_c42e8ad320d8,gatqsat,uuf50-218,1000,100,1.5896,1.7951,0.8140,5.5000
Nov13_03-55-51_c42e8ad320d8,gatqsat,uuf50-218,1000,100,0.4702,0.5263,0.1464,1.4630
Nov14_03-26-36_54337a27a809,gatqsat,uuf50-218,1000,100,1.6667,1.7321,0.6029,3.3125
